Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,0.3943089430894309,0.00048109504093485264,0.3943093777085712,0.3943093777085712,0.82,300.0,246.0
Class1,P2,modified_scholkmann0-5,16.973958333333332,0.04848431403063879,16.97406514885255,15.218828631675953,0.36,300.0,96.0
Class1,P3,modified_scholkmann0-5,4.056818181818182,0.014063425194509495,4.056856023111572,1.9734877617607556,0.9866666666666667,300.0,264.0
Class2,P1,modified_scholkmann0-5,4.833333333333333,0.00911757130287162,4.83334636720844,4.583345612343304,0.16333333333333333,300.0,48.0
Class2,P2,modified_scholkmann0-5,5.599624060150376,0.010203355620750186,5.599637558614564,5.484975879079696,0.8933333333333333,300.0,266.0
Class2,P3,modified_scholkmann0-5,14.290229885057471,0.10158684681780776,14.29066034824039,12.764763308779472,0.6366666666666667,300.0,174.0
Class3,P1,modified_scholkmann0-5,,,,,0.0,300.0,0.0
Class3,P2,modified_scholkmann0-5,6.141025641025641,0.013842901148542648,6.141055489122949,6.141055489122949,0.78,300.0,234.0
Class3,P3,modified_scholkmann0-5,13.123287671232877,0.07052748714976909,13.123513289923487,13.123513289923487,0.9733333333333334,300.0,292.0
Class4,P1,modified_scholkmann0-5,,,,,0.0,100.0,0.0
Class4,P2,modified_scholkmann0-5,1.2941176470588236,0.0012295142379606665,1.2941183620325063,1.2941183620325063,0.85,100.0,85.0
Class4,P3,modified_scholkmann0-5,,,,,0.0,100.0,0.0
