File,P1,P2,P3
Class2_it2_example_0001,40,67,96
Class2_it2_example_0002,38,70,112
Class2_it2_example_0003,36,67,82
Class2_it2_example_0004,35,67,87
Class2_it2_example_0005,39,64,79
Class2_it2_example_0006,37,62,78
Class2_it2_example_0007,33,61,90
Class2_it2_example_0008,38,68,99
Class2_it2_example_0009,39,68,96
Class2_it2_example_0010,25,52,70
Class2_it2_example_0011,29,61,91
Class2_it2_example_0012,24,53,77
Class2_it2_example_0013,28,52,84
Class2_it2_example_0014,30,65,88
Class2_it2_example_0015,29,64,90
Class2_it2_example_0016,30,59,89
Class2_it2_example_0017,20,41,62
Class2_it2_example_0018,26,43,67
Class2_it2_example_0019,31,50,92
Class2_it2_example_0020,39,69,104
Class2_it2_example_0021,39,71,98
Class2_it2_example_0022,29,47,88
Class2_it2_example_0023,37,53,85
Class2_it2_example_0024,30,53,79
Class2_it2_example_0025,37,64,91
Class2_it2_example_0026,30,52,80
Class2_it2_example_0027,31,59,85
Class2_it2_example_0028,31,51,83
Class2_it2_example_0029,30,69,97
Class2_it2_example_0030,31,62,101
Class2_it2_example_0031,31,68,98
Class2_it2_example_0032,38,85,125
Class2_it2_example_0033,39,84,117
Class2_it2_example_0034,40,83,120
Class2_it2_example_0035,42,83,121
Class2_it2_example_0036,41,82,113
Class2_it2_example_0037,40,83,115
Class2_it2_example_0038,39,80,110
Class2_it2_example_0039,40,79,109
Class2_it2_example_0040,40,80,105
Class2_it2_example_0041,42,87,120
Class2_it2_example_0042,34,73,104
Class2_it2_example_0043,39,82,114
Class2_it2_example_0044,39,82,115
Class2_it2_example_0045,39,62,92
Class2_it2_example_0046,39,61,93
Class2_it2_example_0047,42,60,86
Class2_it2_example_0048,74,95,127
Class2_it2_example_0049,45,62,114
Class2_it2_example_0050,36,54,98
Class2_it2_example_0051,29,60,86
Class2_it2_example_0052,36,52,95
Class2_it2_example_0053,45,69,119
Class2_it2_example_0054,38,73,113
Class2_it2_example_0055,38,64,89
Class2_it2_example_0056,29,54,74
Class2_it2_example_0057,25,48,68
Class2_it2_example_0058,24,45,69
Class2_it2_example_0059,27,56,75
Class2_it2_example_0060,37,69,104
Class2_it2_example_0061,36,70,104
Class2_it2_example_0062,33,66,98
Class2_it2_example_0063,36,72,104
Class2_it2_example_0064,30,56,82
Class2_it2_example_0065,33,54,82
Class2_it2_example_0066,38,57,83
Class2_it2_example_0067,32,54,80
Class2_it2_example_0068,46,63,80
Class2_it2_example_0069,43,68,80
Class2_it2_example_0070,32,59,87
Class2_it2_example_0071,32,61,88
Class2_it2_example_0072,30,54,79
Class2_it2_example_0073,29,54,79
Class2_it2_example_0074,26,53,75
Class2_it2_example_0075,24,56,80
Class2_it2_example_0076,30,61,85
Class2_it2_example_0077,30,61,80
Class2_it2_example_0078,33,67,98
Class2_it2_example_0079,29,56,85
Class2_it2_example_0080,25,48,76
Class2_it2_example_0081,32,63,91
Class2_it2_example_0082,30,58,80
Class2_it2_example_0083,23,55,79
Class2_it2_example_0084,42,74,111
Class2_it2_example_0085,38,58,88
Class2_it2_example_0086,37,57,87
Class2_it2_example_0087,38,71,114
Class2_it2_example_0088,29,63,92
Class2_it2_example_0089,29,57,85
Class2_it2_example_0090,31,63,91
Class2_it2_example_0091,37,61,93
Class2_it2_example_0092,33,61,94
Class2_it2_example_0093,33,57,88
Class2_it2_example_0094,32,59,91
Class2_it2_example_0095,33,59,89
Class2_it2_example_0096,31,58,89
Class2_it2_example_0097,30,54,80
Class2_it2_example_0098,36,62,91
Class2_it2_example_0099,33,59,89
Class2_it2_example_0100,49,64,101
Class2_it2_example_0101,40,59,109
Class2_it2_example_0102,34,57,89
Class2_it2_example_0103,33,75,111
